"ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","Y"
167,755,117130,86,0.7737734632,0.9167780517,29444,0.7151627689,306,40829,11,4.7,0
168,59,45923,54,0.7639214079,0.940603927,9139,1,0,0,12.7,7,0
169,62,26415,13,0.7393518519,0.6543518519,1247,0.365497076,247,400,5.7,4.3,0
170,393,28720,315,0.8606970505,0.9968859602,2594,0.980952381,0,0,5.3,4,0
171,212,261994,151,0.8199644529,0.9991769547,42656,0.998937583,37,60,10.3,8,0
172,367,52188,58,0.7690494262,0.9863932898,12278,0.9732954865,185,300,12.3,7.3,0
173,22,24282,25,0.7436234264,0.7856595512,1050,0.0954545455,0,0,6,3.3,0
174,66,21250,10,0.8147110525,0.9349593496,20461,0.8673153291,0,0,17,7,0
175,110,16189,30,0.7592314119,0.9036201615,5075,0.8257232463,11,6896,9.3,3.3,0
176,36,15919,15,0.5201565558,0.9391979623,8811,0.9525754287,209,12483,10.3,6.3,0
177,40,19899,24,0.7910612536,0.9856481481,1369,0.9743589744,389,9834,7.3,5.7,0
178,95,20174,19,0.8453065617,0.9884135472,283,0.25,0,0,2.3,2.3,0
179,187,21363,54,0.7576897935,1,8786,0.9904076739,25,40,8.3,3.7,0
180,185,15806,29,0.8488934993,0.9722222222,9169,0.9761904762,0,0,3.7,2,0
181,26,24238,28,0.8228129368,0.8387709644,12461,0.515591908,110,10080,7.3,5.3,0
182,416,8996,119,0.7417518208,0.9982728843,7514,0.9675856307,50,25767,6.7,2,0
183,15,8000,8,0.7976190476,1,4449,0.9938271605,762,67158,12.3,7,0
184,78,41130,35,0.7962147674,0.4331560828,12128,0.755860796,0,0,10.7,4,0
185,2,896,1,1,1,0,0,1053,25013,1.3,1,0
186,122,51415,107,0.7144365042,0.9980506823,628,1,1030,1670,10.3,2.7,0
187,2,13361,6,0.7797619048,0.7625,14056,0.1834327353,0,0,9,3.3,0
188,187,45945,101,0.7844302595,0.9802089119,4650,0.943487395,0,0,2.7,1.7,0
189,13,4951,3,0.5075757576,1,2069,0.9675925926,82,28388,3.3,2.3,0
190,53,10073,29,0.8125,0.9970238095,6311,0.6752547307,0,0,6,2.3,0
191,7,9123,10,0.472940613,1,1044,1,424,10301,4.3,3.7,0
192,10,12550,9,0.7669172932,0.9824561404,10303,0.9882154882,517,11905,8.7,3,0
193,206,34996,30,0.768236224,0.9738389998,886,0.1831396614,0,0,5.7,3.7,0
194,15,3530,2,0.5333333333,1,94,1,1188,29330,2,1.7,0
195,15,10051,13,0.8400537634,0.9526209677,3851,0.9546290201,42,6029,8,4.7,0
196,18,14194,7,0.8783068783,0.7843915344,3950,0.3637232454,1174,31376,3.7,2,0
197,125,75835,130,0.7607754485,1,1133,1,0,0,12,5.3,0
198,113,12532,10,0.6726781493,0.9182539683,4433,0.4149205036,336,13389,7.7,4,0
199,9,10673,6,0.6694444444,0.8555555556,5442,0.6932743183,245,21202,3.7,2.7,0
200,38,46641,35,0.7095587977,0.6401218209,3214,0.6989660877,0,0,1.7,1.3,0
201,104,23999,19,0.6829763803,1,4850,1,0,0,9.3,4.7,0
202,226,39877,75,0.686731584,0.9860895047,8622,0.8274198294,469,30,15.3,8.3,0
203,48,6554,4,0.85,0.9375,644,1,1578,59360,5,3,0
204,95,19039,37,0.817135199,0.9279290947,13300,0.5522640131,12,20,9,3.3,0
205,42,31808,4,0.7551282051,1,311,0.2026455026,0,0,2.7,2.3,0
206,48,36643,41,0.8308070208,0.5200356889,1294,0.6547619048,3371,31474,4,2,0
207,48,24516,34,0.7545446062,0.8692562523,1019,0.5928515929,49,80,6.7,3.7,0
208,324,30096,40,0.7389053254,1,13764,0.9940652819,522,21119,10.3,5,0
209,187,60178,63,0.7664375476,0.9357808843,16448,0.7847741652,0,0,5,3.7,0
210,153,27283,39,0.7282920469,0.9943502825,0,0,12,20,6.7,2,0
211,25,33488,12,0.7505882353,0.4505882353,1103,0.4647435897,106,37988,2.3,1.7,0
212,35,17166,19,0.764360962,0.9871794872,1625,1,1340,2173,6,2.7,0
213,20,10101,10,0.60276568,0.9117516793,2960,0.466765873,348,15617,4.3,3.3,0
214,74,38866,55,0.8165243586,1,353,1,0,0,20.7,6,0
215,13,11044,5,0.735380117,1,15258,1,0,0,10,2.3,0
216,15,26147,10,0.6015151515,0.403030303,3642,0.3793981481,1,3649,7.7,4.3,0
217,202,30807,111,0.7685125782,0.9971903564,806,0.7061403509,204,331,8,2.7,0
218,0,248,0,1,0,20642,0.558562276,12676,20556,6.3,2.7,0
219,2,1652,2,0.7878787879,0.6341991342,25353,0.6447639319,12,20,7,4.3,0
220,986,51754,80,0.7420243569,1,428,1,0,0,6,4,0
221,56,15420,18,0.6725925926,0.9692307692,6547,0.9479578188,0,0,3,2.3,0
222,88,39163,85,0.7144011727,0.9496945732,8675,0.8262588099,166,8334,14.3,10,0
223,156,33554,94,0.7377500947,0.9816158267,1783,0.6069295102,0,0,5,1.7,0
224,22,17937,32,0.8910503786,0.9821472696,5158,0.7587020758,1,5894,8.3,6,0
225,43,63263,26,0.7613456537,0.8744812704,7794,0.9880952381,0,0,9,5.3,0
226,99,52930,33,0.8054388422,0.8525326797,5319,0.4729065516,0,0,5.3,4,0
227,24,12034,22,0.5849557522,0.9303834808,1803,0.9757575758,93,14036,6,3,0
228,56,22645,11,0.7761804582,0.982000935,1553,0.9866666667,0,0,7.3,2.7,0
229,27,17706,21,0.8808410695,0.9761626483,1558,0.9563492063,275,446,3.7,2,0
230,1,6439,8,0.7210144928,0.4921497585,9377,0.2555661984,1877,3043,10,5,0
231,93,26736,21,0.7760871187,0.9603192362,8078,0.6836720143,568,34653,13.7,7.3,0
232,61,15660,44,0.7730327468,0.9819077876,11528,0.8321981937,872,10810,11.7,7.3,0
233,2,7237,3,0.375,0.9375,2492,1,1633,71036,5.7,3.3,0
